bgc_id,module_from,module_to,reactant_smiles,product_smiles,domains,at_substrate,kr_annotation,dh_annotation,er_annotation,te_annotation
BGC1000000,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000000,1,2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000000,2,3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000000,3,4,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000000,4,5,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O,DH,,,,,
BGC1000001,0,1,CC(=O)[S],CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000001,1,2,CC(O)CC(=O)[S],CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000001,2,3,CC(O)CC(=O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000001,3,4,CC(O)CC(=O)CC(O)CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000001,4,5,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1,DH,,,,,
BGC1000002,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000002,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000002,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000002,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000002,4,5,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000002,5,6,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S],CC1=C2C=CC=C(C2=CC=C1)C(=O)O,DH,,,,,
BGC1000003,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000003,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000003,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000003,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O,,,,,,
BGC1000004,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000004,1,2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000004,2,3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000004,3,4,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC(=CC(=C1C(=O)O)O)O,,,,,,
BGC1000005,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000005,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000005,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000005,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O,DH,,,,,
BGC1000006,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000006,1,2,CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000006,2,3,CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000006,3,4,CC(=O)CC(O)CC(=O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],"KS,AT,KR,ACP",mal,unknown,,,
BGC1000006,4,5,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000006,5,6,CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S],CC1=C2C=CC(O)=C(C2=CC=C1)C(=O)O,DH,,,,,
BGC1000007,0,1,CC(=O)[S],CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000007,1,2,CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000007,2,3,CC(=O)CC(=O)CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S],"KS,AT,ACP",mal,,,,
BGC1000007,3,4,CC(=O)CC(=O)CC(=O)CC(=O)[S],CC1=CC(=CC(=C1C(=O)O)O)O,,,,,,
