reaction_id,reactant_smiles,product_smiles
BGC1000000_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000000_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)[S]
BGC1000000_m2_to_m3,CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S]
BGC1000000_m3_to_m4,CC(=O)CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S]
BGC1000000_m4_to_m5,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC1=CC2=CC(=CC(=C2C(=O)O1)O)O
BGC1000001_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(O)CC(=O)[S]
BGC1000001_m1_to_m2,CC(O)CC(=O)[S].CC(=O)[S],CC(O)CC(=O)CC(=O)[S]
BGC1000001_m2_to_m3,CC(O)CC(=O)CC(=O)[S].CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)[S]
BGC1000001_m3_to_m4,CC(O)CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S]
BGC1000001_m4_to_m5,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S],C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1
BGC1000002_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000002_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)[S]
BGC1000002_m2_to_m3,CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S]
BGC1000002_m3_to_m4,CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S]
BGC1000002_m4_to_m5,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S]
BGC1000002_m5_to_m6,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S].CC(=O)[S],CC1=C2C=CC=C(C2=CC=C1)C(=O)O
BGC1000003_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000003_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)[S]
BGC1000003_m2_to_m3,CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S]
BGC1000003_m3_to_m4,CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O
BGC1000004_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000004_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)[S]
BGC1000004_m2_to_m3,CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S]
BGC1000004_m3_to_m4,CC(=O)CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC1=CC(=CC(=C1C(=O)O)O)O
BGC1000005_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000005_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)[S]
BGC1000005_m2_to_m3,CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S]
BGC1000005_m3_to_m4,CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S],CC1=C(C(=CC=C1)O)C(=O)O
BGC1000006_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000006_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)[S]
BGC1000006_m2_to_m3,CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(=O)[S]
BGC1000006_m3_to_m4,CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S]
BGC1000006_m4_to_m5,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S].CC(=O)[S],CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S]
BGC1000006_m5_to_m6,CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S],CC1=C2C=CC(O)=C(C2=CC=C1)C(=O)O
BGC1000007_m0_to_m1,CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)[S]
BGC1000007_m1_to_m2,CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)[S]
BGC1000007_m2_to_m3,CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC(=O)CC(=O)CC(=O)CC(=O)[S]
BGC1000007_m3_to_m4,CC(=O)CC(=O)CC(=O)CC(=O)[S].CC(=O)[S],CC1=CC(=CC(=C1C(=O)O)O)O
