reaction_id,step_type,at_substrate,reactions,f_left,f_right,diff,balanced,augmentation
BGC1000000_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000000_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)[S].[S],C6H8O3S2,C6H7O3S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000000_m2_to_m3,EXT,mal,CC(=O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)CC(=O)[S].[S],C8H10O4S2,C8H9O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000000_m3_to_m4,EXT,mal,CC(=O)CC(=O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S].[S],C10H12O5S2,C10H11O5S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000000_m4_to_m5,CLOSURE,,CC(=O)CC(=O)CC(=O)CC(=O)CC(=O)[S]>>CC1=CC2=CC(=CC(=C2C(=O)O1)O)O.[S],C10H11O5S,C10H8O4S,"{'H': -3, 'O': -1}",False,CLOSURE: +[S] (thiol release)
BGC1000001_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(O)CC(=O)[S].[S],C4H6O2S2,C4H7O2S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000001_m1_to_m2,EXT,mal,CC(O)CC(=O)[S].CC(=O)[S]>>CC(O)CC(=O)CC(=O)[S].[S],C6H10O3S2,C6H9O3S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000001_m2_to_m3,EXT,mal,CC(O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(O)CC(=O)CC(O)CC(=O)[S].[S],C8H12O4S2,C8H13O4S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000001_m3_to_m4,EXT,mal,CC(O)CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S].[S],C10H16O5S2,C10H15O5S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000001_m4_to_m5,CLOSURE,,CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S]>>C[C@@H]1CC2=C(C(=CC=C2)O)C(=O)O1.[S],C10H15O5S,C10H10O3S,"{'H': -5, 'O': -2}",False,CLOSURE: +[S] (thiol release)
BGC1000002_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000002_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)[S].[S],C6H8O3S2,C6H9O3S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000002_m2_to_m3,EXT,mal,CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(=O)[S].[S],C8H12O4S2,C8H11O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000002_m3_to_m4,EXT,mal,CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S].[S],C10H14O5S2,C10H15O5S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000002_m4_to_m5,EXT,mal,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S].[S],C12H18O6S2,C12H19O6S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000002_m5_to_m6,CLOSURE,,CC(=O)CC(O)CC(=O)CC(O)CC(O)CC(=O)[S]>>CC1=C2C=CC=C(C2=CC=C1)C(=O)O.[S],C12H19O6S,C12H10O2S,"{'H': -9, 'O': -4}",False,CLOSURE: +[S] (thiol release)
BGC1000003_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000003_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)[S].[S],C6H8O3S2,C6H9O3S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000003_m2_to_m3,EXT,mal,CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(=O)[S].[S],C8H12O4S2,C8H11O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000003_m3_to_m4,CLOSURE,,CC(=O)CC(O)CC(=O)CC(=O)[S]>>CC1=C(C(=CC=C1)O)C(=O)O.[S],C8H11O4S,C8H8O3S,"{'H': -3, 'O': -1}",False,CLOSURE: +[S] (thiol release)
BGC1000004_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000004_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)[S].[S],C6H8O3S2,C6H7O3S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000004_m2_to_m3,EXT,mal,CC(=O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)CC(=O)[S].[S],C8H10O4S2,C8H9O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000004_m3_to_m4,CLOSURE,,CC(=O)CC(=O)CC(=O)CC(=O)[S]>>CC1=CC(=CC(=C1C(=O)O)O)O.[S],C8H9O4S,C8H8O4S,{'H': -1},False,CLOSURE: +[S] (thiol release)
BGC1000005_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000005_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)[S].[S],C6H8O3S2,C6H9O3S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000005_m2_to_m3,EXT,mal,CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(=O)[S].[S],C8H12O4S2,C8H11O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000005_m3_to_m4,CLOSURE,,CC(=O)CC(O)CC(=O)CC(=O)[S]>>CC1=C(C(=CC=C1)O)C(=O)O.[S],C8H11O4S,C8H8O3S,"{'H': -3, 'O': -1}",False,CLOSURE: +[S] (thiol release)
BGC1000006_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000006_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)[S].[S],C6H8O3S2,C6H9O3S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000006_m2_to_m3,EXT,mal,CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(=O)[S].[S],C8H12O4S2,C8H11O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000006_m3_to_m4,EXT,mal,CC(=O)CC(O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S].[S],C10H14O5S2,C10H15O5S2,{'H': 1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000006_m4_to_m5,EXT,mal,CC(=O)CC(O)CC(=O)CC(O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S].[S],C12H18O6S2,C12H17O6S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000006_m5_to_m6,CLOSURE,,CC(=O)CC(O)CC(=O)CC(O)CC(=O)CC(=O)[S]>>CC1=C2C=CC(O)=C(C2=CC=C1)C(=O)O.[S],C12H17O6S,C12H10O3S,"{'H': -7, 'O': -3}",False,CLOSURE: +[S] (thiol release)
BGC1000007_m0_to_m1,EXT,mal,CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)[S].[S],C4H6O2S2,C4H5O2S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000007_m1_to_m2,EXT,mal,CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)[S].[S],C6H8O3S2,C6H7O3S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000007_m2_to_m3,EXT,mal,CC(=O)CC(=O)CC(=O)[S].CC(=O)[S]>>CC(=O)CC(=O)CC(=O)CC(=O)[S].[S],C8H10O4S2,C8H9O4S2,{'H': -1},False,"EXT(mal): +acetyl-S (BioPKS), +[S] on product"
BGC1000007_m3_to_m4,CLOSURE,,CC(=O)CC(=O)CC(=O)CC(=O)[S]>>CC1=CC(=CC(=C1C(=O)O)O)O.[S],C8H9O4S,C8H8O4S,{'H': -1},False,CLOSURE: +[S] (thiol release)
